# Mysterious pattern central peak parameters
# I_baseline Intensity  Δxcam  Δycam FWHM_maj FWHM_min orientation  Δ2theta     Δchi
#      [cts]     [cts]  [pix]  [pix]    [pix]    [pix]       [deg]    [deg]    [deg]
     1305.56  11799.62  5.679  5.507    0.908    0.757      -95.46 -0.01028 -0.00664
     1305.06  11957.53  5.600  5.501    0.905    0.761      -98.29 -0.01111 -0.00449
     1302.96  11861.58  5.553  5.469    0.900    0.769     -635.72 -0.01090 -0.00322
     1301.08  11872.68  5.644  5.454    0.756    0.902       -6.82 -0.00943 -0.00567
     1305.20  11953.13  5.695  5.469    0.739    0.903       -8.34 -0.00919 -0.00705
     1306.08  11405.48  5.562  5.475    0.916    0.796       73.36 -0.01094 -0.00346
     1310.55  11718.48  5.222  5.481    0.779    0.893      -13.90 -0.01522  0.00571
     1317.49  12187.86  5.095  5.498    0.751    0.891      -10.34 -0.01716  0.00912
     1314.54  12310.58  5.200  5.530    0.746    0.874       -2.26 -0.01667  0.00631
     1308.64  12149.40  5.440  5.535    0.773    0.876      354.37 -0.01387 -0.00019
     1315.77  12565.67  5.852  5.726    0.716    0.854      172.52 -0.01350 -0.01135
     1314.32  12276.97  5.993  5.704    0.719    0.855       -4.39 -0.01126 -0.01514
     1307.85  12153.35  6.096  5.645    0.727    0.874      170.63 -0.00857 -0.01791
     1310.67  11869.12  5.945  5.610    0.740    0.882       -7.29 -0.00958 -0.01382
     1305.28  11302.55  5.661  5.574    0.790    0.910     -189.78 -0.01213 -0.00617
     1305.57  11619.67  5.510  5.520    0.787    0.897       -4.58 -0.01267 -0.00207
     1307.97  11750.16  5.464  5.470    0.791    0.894       -5.70 -0.01201 -0.00081
     1310.85  11183.65  5.241  5.442    0.783    0.931      167.41 -0.01404  0.00521
     1310.44  11030.01  4.999  5.590    0.949    0.775     -112.33 -0.02056  0.01170
     1306.74  11399.05  4.859  5.695    0.915    0.777       76.65 -0.02479  0.01545
     1315.30  11735.12  4.926  5.655    0.761    0.897       -1.09 -0.02303  0.01367
     1315.92  12165.43  5.052  5.562    0.737    0.891       -1.51 -0.01922  0.01027
     1316.28  12137.36  5.217  5.482    0.749    0.885        0.84 -0.01530  0.00584
     1303.13  11600.80  5.547  5.420    0.781    0.908       -5.37 -0.00980 -0.00304
     1309.09  11677.02  5.641  5.424    0.756    0.926      -11.92 -0.00875 -0.00559
     1304.12  11507.27  5.470  5.502    0.783    0.922     -559.44 -0.01270 -0.00098
     1304.46  11921.90  5.431  5.583    0.894    0.778      258.98 -0.01514  0.00004
     1308.74  12037.98  5.698  5.674    0.749    0.875       -5.18 -0.01411 -0.00717
     1311.01  12083.82  5.858  5.697    0.714    0.873       -6.07 -0.01273 -0.01149
     1310.71  12006.50  5.782  5.675    0.878    0.739       83.28 -0.01311 -0.00945
     1308.21  11739.14  5.643  5.660    0.879    0.771      436.65 -0.01443 -0.00568
     1304.87  11790.07  5.421  5.649    0.889    0.787       76.83 -0.01686  0.00031
     1300.52  11777.31  5.360  5.610    0.763    0.891     -186.63 -0.01665  0.00195
     1306.60  11710.50  5.476  5.584    0.778    0.900      355.06 -0.01461 -0.00117
     1306.04  11318.19  5.351  5.521    0.795    0.924      170.07 -0.01462  0.00223
     1312.95  11406.58  5.134  5.573    0.940    0.762     -102.43 -0.01850  0.00805
     1314.13  11623.30  5.090  5.649    0.741    0.928     -549.90 -0.02088  0.00924
     1312.14  11711.94  5.051  5.713    0.912    0.757       79.65 -0.02290  0.01028
     1316.69  11788.79  5.098  5.681    0.755    0.898       -3.51 -0.02156  0.00901
     1305.95  11545.16  5.378  5.616    0.913    0.786      -94.02 -0.01658  0.00148
     1310.72  11602.98  5.616  5.628    0.925    0.759      982.41 -0.01398 -0.00496
